userName,content,score
Suharyatno 885,sudah ada aplikasi tetap saja harus ke kantor birokrasi bobrok,1
indera v k,sangat membantu sekali.. terimakasih dengan ada layanan digital jkn mobile,5
Dewi Sartika,NIK sudah benar. pass juga benar kode juga benar masih saja tidak bisa log in di coba 3x zonk,1
Tuti Tuti,sangant membantu,5
Nunung Hidayat,bagusee,4
Ashar ASH,"aplikasinya jelek banget,, ketika didaftar menggunakan opsi no handphone, dari kemarin sampai saat ini juga tidak ada verifikasi muncul di pesan saya, hanya otp handphone saja susah dapatin notif nya, udah beberapa kali saya coba tidak ada sama sekali",1
Dian Suprianto,siipp,5
Aan Sampul Anwar,Ok,5
Riffan Muhammad,mantap bos,5
Moch fajar Maulana,kode otp gamasuk masuk aneh banget apk yg harusnya mempermudah malah mempersulit,1
Aibak Silawane,baik,5
Kazam Eni,joss jiss,5
Chandra Purnama,mudah dan cepat,5
alpen_malin Palito,sangat bermanfaat untuk proses lebih cepat,5
Rogani,mantap,5
darson ginting,sangat membantu,5
MASDARI,Good,5
Sutrisjoki Mobilelegend,apk nyusahin bukan mempermudah malah mempersulit. cuma mau ambil antrean aja harus daftar mending kalau daftar mudah daftar aja di persulit.. mending gak usah ada apk. lebih enak ambil nomor antrian langsung di tempt,1
injhie agasthiya,aplikasi anda sungguh sangat menyebalkan,1
Syafrina Rina19,"Tidak bisa daftar antrian berobat melalui Jkn ini , katanya gagal tersambung ke Rs . padahal antrian di Rs lain melalui jkn aman2 aja",1
Herman Pinggir,apk macem apa ini mau daptar kok gk bisa.. untuk apa di ada kan,1
Budi Setiawan,lumayan bagus,5
Jontia Duan Nabela,"pelayanan lambat ,mempersulit pengobatan, aplikasi sering berkendala",1
Muhammad Saefi,good,5
Dita Nia,"aplikasi menyusahkan, semua harus daftar pakai jkn. kasihan yg tua tidak punya hp tidak bisa daftar, iya kalau ada anak di bantu anak. menyusahkan pasien lansia dan orang yg gak punya HP. untuk verifikasi wajah aja susahnya minta ampun padahal posisi wajah sudah di dalam kotak, prosedur BPJS maupun aplikasi kurang banget, waktu di pndftran habis untuk daftar JKN, IT SO BAD. TOLONG DI BACA DAN DI BENAHI,AGAR SEMUA PASIEN YG LANSIA ATAUPUN MEREKA YG TIDAK MEMILIKI HP TIDAK KESULITAN!!",1
Christianoprianus Barek,dipaksa registrasi nomor. tapi nomor otp nya ngak dikirim kirim. gimana sih?,1
Nur Aina,M JKN sangat mmbantu sekali,5
Afrizal Ferry,bagus,5
Sri Wahyuni,sangat membantu,5
Santi Sakha,aplikasi apaan ini baru masuk tau2 logout sendiri mau ngisi skrining ampe 2 hari sampe sekarang belum bisa masuk2 logout mulu baru ngisi nomer 1 logout mulu bikin cape hati,1
Rehan Mujhan,ini apk jelek amat servernya masa mau ganti no hp gak bisa di suruh milih cara verifikasi tapi gak ada pilihan nya,1
Fauji Akbar,ok,5
Tati Nurhayati,sangat terbantu,5
Yukis Sartika,baik,5
rendi bayu prasetyo,aplikasi sampah,1
R.J PA,bagus .semoga di perbarui sistem nya suka eror pas perivikasi wajah,5
Bahri Bari,sangat senang sekali,5
Widodo Cahyono,mantap,5
Saleh udin,aplikasi JKN mobile sangat bermanfaat sekali untuk mengetahui info BPJS,5
M.Nuryaman Sanip79,lebih simple dan memudahkan dalam operasional peserta BPJS kesehatan,5
Anindaa sndy,"BUG BANGET, TOLONG INIKAN APLIKASI UNTUK MEMPERMUDAH BUKAN MALAH MEMPERSULIT BUANG BUANG WAKTU JADINYA. TOLONG DIPERBAIKI LAGI UNTUK PENGIRIMAN VERIFIKASI DARI SMS.",1
AZIES Chanel,oke banget,5
Riswandi Wandy,Aplikasi paling tertinggal,1
Handoko Salamun,"pelayanan baik, lokasi cukup strategis, transportasi umum banyak, antrian pasien tertib.🤞",5
Vicky Spwd,alhamdulillah ada jkn,5
Salwah Inayah,Alhamdulillah,5
Yadi Ahmadi,ok,5
Sardi Maulana,mantapp,5
Ibnu Tridadi,"aplikasi simpel dan mudah di gunakan, untuk proses perubahan data juga cepat. pertahankan dan di tingkatan agar lebih baik.",4
Aya Santi,sya ga bisa daftar parah banget udh masukin nomor telpon gaada kodenya,2
Debiana,"sangat membantu, tidak perlu keluar rumah",5
Mstar Mstar,"tidak membantu. tidak bisa daftar nunggu kode otp sms kayak nunggu bantuan dari pemerintah, tidak muncul2 walau kita sudah berusaha",1
Bapa Ahmad,"Aplikasi ini dapat mempermudahkan Semua Anggota/Peserta JKN Mantap, Semoga Berkah Sukses Selalu Untuk Kita Semua, terima kasih 🙏",5
M R,good,4
Riza Maries Channel,bagus,5
Darwati Wati,"bagus, tp buka pendaftaran suka loading",5
N Frina,"Udah lama ga buka aplikasinya, waktu mau cek jkn, ternyata udah ter log out otomatis, mau log in karena lupa sandi kan ya, jd di suruh lewat email atau SMS, udah lewat SMS tapi ga ada tuh masuk SMS nya, cek lewat e-mail juga ga ada tuh masuk emailnya. Katanya jaringan nonaktif, padahal no HP ku aktif aja lo jaringannya full sinyal. Ku coba pake Wi-Fi tapi tetap ga bisa log in, ini gimana jadinya min?",1
Aii Onnie Numberi,kenapa email saya bisa berubah dengan email lain yg saya tidak gunakan untuk registrasi ya,2
Nirma Atun,sangat membantu dan mudah pengaplikasian nya 🙏🥰,5
Milyader Muda,Gk jelas mau merubah data peserta menjadi pekerja mandiri nunggu kode verifikasi gk ada mulu... kocak,1
Fatimah Aries,"kecewa bgt otp nya ampe nunggu berjam "" gk dpt",1
Fian Sopan,mantap semoga bermanfaat,5
Dahlia Dahlia,sangat membantu,5
Bonik Mandala,kenapa sih suka Log out sendiri aplnya?? ribettttttt,1
Ajijah Arzaqillah,"udah berbulan2 gak bisa masuk, kirain sy doang trnyta bnyk yg alamin. akun logout sndri. Pdhl butuh bgt buat ambil data kartu baru, mao dicetak soalnya. klo udh gak guna gini mending dihapus sih ini aplikasi.",1
Anna Christya,pelayanan cukup baik,5
Alsya Mkpuko,sangat membantu,5
Mana Aja !!!,Bagus,5
joseph raharjo,Aplikasi ini sangat membantu peserta BPJS. Kenapa ikon JKN tidak muncul di layar?,5
Faizurrahman,mempersulit,1
A2RK Gaming,sukses slalu,5
MUHAMMAD FITHROH BUSTAMIE,"nungguin verifikasi no hp ga muncul muncul wa nya maupun sms, di tambah waktu untuk mengirim ulang otp juga lama banget",1
Justri Yani,mnatap,5
Wisam_ /,"Mohon maaf ini kenapa permintaan verivikasi tidak dapat di proses ya, sudah satu minggu saya coba setiap hari belum bisa"". Mohon segera diperbaiki saya mau daftar BPJS jadi susah",3
elsa julianti,terbaik ya,5
Mimi Retmi,"gak guna banget sumpah, di saranin pake apk ini pas di perantauan biar gak ribet pulang minta rujukan tapi mau daftar aja gak bisa",1
B SB,"aplikasi nya gimna si uda pindah Faskes tapi blm Bisa Berobat Masi di faskes Lama, Lelet banget Updatenya",1
Faiqun Niam,👍,5
Nurhayanti 0519,sangat membantu untuk pendaftaran online..,5
Armoel Lana,mudah2an lancar dan mudah menggunakannya,5
Rahmat HD,"jkn ku sudah aktif, sekarang saya merasa bangga pada diri sendiri, walau saya tidak punya penghasilan tetap, saya bisa berbagi dengan orang lain. karna negara sekarang tidak mampu lagi menjamin kesehatan masyarakat kecil, pekerjaan jg sulit, semoga di masa depan indonesia makmur dan sejahtera.. aamiin.",2
Eko Mulyanto,"looping autodebit saat login apk sangat MENYUSAHKAN, pengguna apk sampai tidak bisa mendaftar antrian oline untuk berobat di faskes 😤",1
muhammad zaini,sering log out sendiri dan gagal masuk terus,1
Abdill 04,oke,4
Reski Aditya putra,mudah di akses untuk mengecek BPJS,5
Silvia Maharani,"aplikasi macam apa ini tidak membantu sama sekali, cuma membuang buang waktu kita saja. terutama bagian kode otp",1
agus didin,mantap,5
Iyan Sopian,sangat puas,5
Amir Udin,good,5
dhi Boxsit,memudahkan saat pindah faskes,4
Abd Muhyi Terosan,mudah2 Han bermanfaat,5
Udi Yudi,"App nggk jelas, hari"" minta daftar terus",1
Endang Yasin,oke gampang operasikannya,5
Diska Aulia,sangat burukk,5
agus hadi,sangat membantu dan cepat direalisasi dalam proses kadministrasi kesehatan,1
sahti,kenapa kok susah sekali mau login,1
Rumyati S.Pd.I,oke,5
Angga Priandhika,agak susah ketika verifikasi wajah,4
Udien Amiier,"aplikasainya lag mulu aneh,, ga jelas banget masa harus uninstal dlu terus instal lagi baru lancar",3
marketing depogui,oke,5
Yoyok Hariadi,standar,3
Sriyono 0905,"aplikasinya sangat rumit, verifikasi akun aja susah bgt nungguin kode OTP ga masuk"", pdahal pulsa ada, verifikasi wajah juga berkali"" tengok kanan kiri, senyum kedip ga kelar"", akhirnya ga berhasil juga tolong dong diperbaiki dan dipermudah proses verifikasinya",1
Sheryl Alana,mudah dan sangat membantu untuk kesehatan masyarakat indonesia,5
Tienz Marlina,"Selain aplikasi yg update terus,system melalui pandawa juga error mulu, dan skr sering logout sendiri,",3
Clairien Bellvania,terbaik,5
Adul Rosid,sangat membantu,5
Fajri,Aplk ini sangat membantu saya sbg pasien,5
Lucye shwarosiki,"tidak bisa edit apapun , coba lagi 1000X",1
Nusmar Hadi,"mantap , joss gandoss , terima kasih .",5
Muhammad Adam,kode verifikasi nomor telepon nggak masuk² padahal udah berkali kali!!,1
Ilham khanzha Ilham,"aplikasi nya nggak normal dikit logout, giliran di masuk an nggak bisa herannnnnn",1
Baxter Bast,waooow matraap,5
K Subagiasa,gak kebayang deh jk tdk ada bpjs luar biasa membantu sekali pd saat perlu pengobatan krn samit,5
Yusnanutami Utami,terlalu ribet ..gk da pilihan selain menggunakan otp...sbnrnyya boleh gk sech daftarin pasien di hari H nya lgs dtg ke rsud?? klau di rs lain tmpt ada aplksi khusus pakai no wa....tnp ribet pke jkn jkn nan....susah pa lg yg gaptek,1
abdul faqir,"payah payah payaaaah ,minta kode OTP verifikasi lewat no hp ajaa gak dikirim"" ,pdahal udah urgent banget , sampaaah ,pelayanan masyarakat apaaa ini , kalo emang GK bisa ngasih pelayanan baik GK usah semua serba online ,ini menyangkut kesehatan + Nyawa , operator nya apa kurang gede korupsinya ???",1
Cah esport,sangat dimudahkan dan praktis efisien,5
doni dwi wahyudi,sering log out sndiri disaat digunakan,2
Doni Doni123,mantap,5
Brian Hebingadil,sangat membantu,5
Fredy Fre,masuk terus .keluar terus aplikasi tolol,1
Thifaarqeela,sangat membantu,5
govinda limbong,teknologi tetap terlihat bodot kalo dijalankan orang bodoh,1
Otoman Empires,oke,5
Dedex Nineteen,good,5
Mansyur Tanjung tiram,bagus,5
Silvi Silvita,mantap dan mudah untuk diakses setiap waktu,5
Anna Azwa,pelayanan sangat baik,5
Nabilla Alya,"nunggu kode otp SMS gak masuk² padahal sudah diulang berkali kali, mohon segera diproses diperbaiki",1
saudah murdiman,lumayan,4
Mulyono,sangat membantu,5
Damayanti Yanti,"Puas,",5
windarsih rohmadin,layanan semakjn cepat dan mudah dg aplikasi ini,5
Djoko Santoso,Bagus,5
Detty Dewi Suminar,Pelayanannya baik bagus ramah ramah & tertib .,5
Riswan Maryandi,"PARAH BUKANYA NAMBAH ENAK MALAH DIPERSULIT,,,MEKANISME MENYUSAHKAN MASYARAKAT INDONESIA😝",1
Ismi,tidak membantu sama sekali,1
Edison Son,aplikasinya sangar membantu,5
Muhamad Nurfajriansyah,Good,5
WARTUM,Maksimal kan pelayanan,5
Rama Putra Wijaya,sejauh ini oke. simpel,5
Rafarafi,sangat membantu untuk mendaftar BPJS,5
Putra Jambi,sangat mudah,5
Rino black,mantap bergina,5
Mia Zahwa,"aplikasi gx jelas, mau ambil antrean gagal tetus...",1
Mei Listiyana,"Aplikasi yang menurutku fiturnya lengkap, namun banyak sekali untuk kendala.... apalagi scan foto yang sulit diarahkan dan juga saat mengisi nomer hp yang selalu terdapat (Mohon untuk mencoba beberapa saat lagi!)",1
Ramadhanif,semua menjadi mudah,5
Ryan Ryan,mantap pokok e,5
Norman Mamen,"aplikasi pemerintah gimana yaa ini... setiap mau di pake error terus, tolong lahhh...",1
berta patty,aplikasi yg sangat berguna untk antri Bpjs faskes 1 hingga rujukan lainnya,5
sri wahyuni,kenapa setiap mau masuk logout sendiri perbaiki lagi malah bikin sebel aja,1
Aip Pudin,sangat baik,5
Teguh Subara,bagus,5
Eka Yuningsih,aplikasi lancar dan mudah di gunakan,4
masker game,mantap,5
Sri Endowati,"Mentok di kode otp. Udah berkali-kali nulis no HP, tapi kode otp nggak pernah masuk ke SMS. Padahal nomernya bener, koneksi internet juga bagus banget. Nggak tau deh kenapa",1
GLOBAL GAMING,ribet,1
Yessi Novita,ok,4
zaenal aripin,lumayan bagus,5
Candra Jaya Laksanakan,"setelah update makin kacau,,mau daftar ribet banget,pake acara screening lah,,bikin ribet ga kaya dulu,,daftar nya ga ribet , sekarang mau daftar di apskes pertama ribet nya minta ampuuun",1
Rifan Setyawan,Boleh lah.. lumayan,5
Wahyu Wahyu,bagus,5
niaa pakayaa,pelayanan sangat bagus 🥰,5
Nov Afifah,bagus sekali,5
Rudianningsih Dian,bagus. alhamduliLlah selama ini lancar...,5
wijiatmoko,alhamdulillah .. semua jadi lancar.. 👍👍👍,5
Jaja Firdaus,"pemerintah kalo bikin aplikasi kayak ga niat, masa buat login aja kagak bisa-bisa udah sakit mau daftar di aplikasi aja susah astagfirullah bae-bae dah kalian semua",1
Carles Sinatra Alizie [YESKA fam's],membantu proses,4
Syahrul Gunawan,👍🏻👍🏻👍🏻👍🏻👍🏻,5
Elfas Sendrisapta,"lagi sakit aja dipersulit, mau daftar nyuruh ne itu dlu. udh di ikutin smuany ttap aj g bsa",2
siti bahriro,"sejauh ini bagus , aplikasi tidak eror",5
Dasep Carmana,sip pokok nya,5
Deden Riko Handoko,mantap aplikasinya,5
Joli 1234,Mantab,5
Bakung Purnomo,updar bikin nga bisa di buka malahan,5
Ima rosmayanti,aplikasi parahh gak bisa masuk sangat jelek banget .,1
Syamsul R,bagus,5
silvana anggrelia mutiara ayu,DAFTARNYA RIBET LOGIN SUSAH,1
Yo Wis,"Mau daftar disuruh masuk kan nomer tapi SMS gak muncul"" udah berkali-kali nyoba tetap gak masuk. kalau pakai email langsung masuk. email sudah bisa tapi harus ngisi nomor juga. padahal SMS gak masuk""",1
Jack Lewis,"gimna mau orang instal, daftar ajh nunggu notif sms gak dateng2, jelek banget yang buat aplikasi, wajarlah reting orang jelek, males malah instal mau daftar susah",1
Syamsul Hadi,"Aplikasi responsif, sip jooss...",5
Ema Robiana,"aplikasi jelek, gabisa login terus.",1
Fabian,sangat membantu apalagi kalau pelayanan nya lebih di tingkatkan lagi,5
Wahyu,"server ampas, kode otp gak masuk masuk",1
Bintoro Hadi Saputro (Rapto),"TOLONG KEMBALIKAN Verifikasi OTP bisa via Whatsapp, jangan jadi PEMIMPIN yg DZOLIM, dengan segala hal harus dipalakin, dipajakin, dengan menyuruh wajib pakai OTP SMS Premium... ini layanan KESEHATAN, hidup mati seseorang ada DISINI, kalau mau cari untung silahkan BERDAGANG saja...",1
Eka Yuni,good,5
Ajeng Siti Rohmah,Un instal malesiiiinnnnnn ribet mw masuk login susah muluuu,1
Achmad Atmawijaya,sangat membantu,5
Yugista Pratama,aplikasi bikin orang susah,1
deca apriliani,eror trs,1
Dimas Fadhluh,device saya tidak saya root tetapi mendapatkan notifikasi perangkat saya di root.,1
Salman,mnatap,5
trisha wody,gercep dan bagus,5
Intan Calem,ga pernah di update ya?,1
Risman Hadi,"bisakah aplikasi ini tidak keluar sendiri berterus terusan ? kan repot setiap mau menggunakan harus loggin dulu,harus cari data dulu",2
Rizky Pratama,kenapa setelah update tidak bisa digunakan untuk ambil anttian di faskes 1,1
Leen Marlina,membantu sekali,5
Irma Nirmala,pelayanan di faskes 1 sangat bagus,5
Aan Allex,keren 👍👍👍👍👍,5
Rama Try Zulkarnain,PERBAIKI,1
Desi purnama Sari Desi purnama Sari,min kok saya enggak bisa ngedaftar ya kenapa itu min udah di coba beberapa kali enggak bisa aja,2
Lilis Hartini,kenapa ya susah masuk nya kode otp nya susah masuk sudah berkali kali... hayatii lelahh...,4
Aqila Ghaida Nasyitha,mobile JKN mudah dan praktis,5
Slamet Riyadi,alhamdulillah sangat membantu,5
Veryns Sinovil,"billing error terus sampai sekarang...., nanti kalau sudah oke... bintang saya tambahkan",2
Said Assegaff,"kita pengangguran harus bayar iuran tiap bulan 210rb. cari kerja susah 😭. adakah BPJS yg umum/GRATIS?. janganlah menyiksa kami seperti ini. untuk nafkahi anak bini saya saja makan seadanya. belum pempres susu dll. Ya Allah. kenapa rakyat kecil selalu merasakan hidup menderita seperti ini. INDONESIA sudah MERDEKA tapi rakyat miskin belum merasakan KEMERDAKAAN. Tolong untuk dibaca lalu direnungkan nasib kami, masa depan anak kami😭🙏. sekianTerimakasih",5
irfan aziz,berguna sekali,5
AFRI WANDI,sangat membatu,5
Feni Andriani,sangat memudahkan dalam proses pelayanan,5
Shine L Y P,"aplikasi tolol, isinya cuma bug",1
Nury Jakaria,Ini serius gaada tanggapannya soal verifikasi otp lewat email / sms yg gagagal terus ??,2
Lina Mardiyana,bagus bgt ge bantu. ada mobile JKN,5
Subhan Nudin,mantap,5
Narim,daptar JKN BPJS kesehatan,5
Susi Rachmawati,semoga pelayanan BPJS dan RS makin mudah tidak membingungkan peserta yg gaptek.. baik dan ramah yg sakit lekas sembuh,5
Salam april,jaringan mulu ngak bisa daftar akun,1
Maira saufa2803,smga bisa lancar,5
Alma Nurmala,mantap,5
Rega Nia,oke,5
Nyoman Rianta,bagus suka baget.,5
azza lia,"udh ganti HP, pake no HP lain, coba beberapa email ttp ga kirimm kode OTPnya.",1
yuli ana,RS gak tidak ada penambahan biaya apa pun,5
Kusmarini Rini,"aplikasi nya menyusahkan pasien, terutama bagi lansia. di awal buat akun semua data udh ok, knp pd saat mau ambil no antrian diminta updatr data terbaru, no hp baru, format utk input no hp jg ga di perjelas..",2
oji ijo,"aplikasi jadul, eror mulu",1
Ariel Baso,bagus,5
Cah porjo,BARU KALI INI NEMU APLIKASI SERIBET INI...EDAN BUJAN MEMBATU MALAH BIKIN EMOSI,1
Muhamad Harun Firansyh,"mntp Kren mobile jkn Kren""",5
Purqon Sah,sangat membantu trimaksih,4
Manusia Biasa,"mohon di perbaiki,,,sudah bisa log in tapi ketika mau verifikasi nomor HP,selalu tidak muncul referensi OTP nya,,,",2
Mochamad Azis 94,lancar jaya,4
Siti Soleha,sangat membantu dan mudah di mengerti,5
Adibatul Maula,kenapa nunggu verifikasi otp ga muncul²an3hh,4
iyand diana,lebih di permukaan lagi untuk perubahan data.,5
syifaur rahman,perbaiki lagi sering eror,1
Predy Jhuan,"apk ok, mudah dimengerti,dan jelas,",5
Budi Purwanto Misar,lbh mudah,4
Habib Sufyan,bagus,5
ZON COTTO,pelayanan baik,5
Masahati Halawa,mantap,5
Herman Liacell,Lancar,5
Sri wulan Ramadhani,mantap,5
Ruri Bae,mudah buat daftar,5
Paradis,"apa ini mau daftar aja pas masukin nomor telepon mau minta kode verifikasi ga di sms padahal nomor hp nya udah sesuai aplikasi aneh,trus juga pas verifikasi wajah kamera nya kebalik bikin pusing aja,dah lah aplikasi ngga jelas",1
Cinza Simbolon,aplikasi yang sangat bagus dan membantu,5
ica ica Megumi kato,apk taekkk. udah pake bnyk nmr tetep kode otp nya gada yg masuk. sampah,1
Muhiddin Sr,mantapp,5
Fatheindy,verifikasi wajah susah saya sudah coba ke sekian kali ga bisa,1
Verra Zhan,nungguin otp doang sampe sejam,1
Khasan Akmarul,bagus,5
Aseeh W,apk buatan pemerintah semuaya jelek,1
Adel Adel,"layanan aplikasi ini kurang.pelayan buruk.tiap buka aplikasi ini ganti pasword Mulu,saking banyaknya pasword Jadi lupa mana2 pasword nya.kembali masuk ke lupa kata sandi nungguin SMS 300detik sampe berkali2 tetap gak ada SMS masuk.bayar tiap bulan pelayanan buruk gini.mana faskes harus buka aplikasi dulu baru proses",1
Idul Mage,"mau daftar susah banget, minta kode otp gagal terus...",1
Riri Anggraeni,mudah di gunakan,5
Junistri Widyawati,digitalisasi yang complete,5
Enri Rahmadi,"ribet,niatnya bagus tapi belum tentu semua faham tehnologi",2
Bagus Setiawan,ok,5
nur aini,sangatttt2 membantu terimaksi ya jadi tdk usab antri lama2 lg di RS nya karna ada estimasi waktu kedatangannya...alhamdulillah,5
X,"nunggu kode otp gk dikirim², aplikasi ampas emg",1
Edisupatik Patik,lebih mudah,5
Reza Agus salim,bagus.tapi lebih bagus lagi kalo pake 1 KTP untuk semua,4
Emilia Depi,oke,5
Ncep Anom,oke banget,5
Dedennugraha bdgkulon,Terimakasih telah memberikan layanan yg terbaik👍👍👍,5
Mochamad Ilham Akbar Ilham Akbar,Aplikasi yang sangat membantu di semua kalangan Masyarakat terima kasih BPJS kesehatan dan kementerian Kesehatan Republik Indonesia 🙏 Hatur nuhun,5
Imba Ade,pelayanan nya cepat dn bagus,5
Meiman Gulo,daftarnya baru susah baget.,1
Adjie Jayy,"Mau verifikasi nomor aja lama nya kebangetan, mau ganti password aja lama parah banget, tolong di perbaiki lah, ini kan banyak yang butuh, jangan di persulit.",1
Ayu Natha,sangat memudahkan,5
Sandhi Mahardhika,aplikasi ga bermutu... bukan mempermudah malah mempersulit.... OTP aja ga di kirim2.. sampahlah....,1
Wawan Setyawan,ssangat baik & sangat membantu,5
yarra,gajelas otp gamasuk mau verif berkali kali juga,1
APIF ARIFIN,memuaskan,5
Amelia Nurhalizah,bagussssss,5
Ngasi Ati,sangat bagus,5
Joko Pitono,"pendaftar baru cepat, tidak ribet",5
Juvita Maulinda Sari,"kode otp nya knp gamasuk masuk sih, apk nnya kebanyakan error, gajelas sumpah orang mah berobat jadi susah",1
oxza viana,kenapa suka logout sendiri sih mana sering lupa paswordnya udh pakai sidik jari tetap aja gak fungsi padahal udah diaktifin.,2
Bad Boy28,terimakasih,5
Pak Nita,mau kode verifikasi saja kayak nyabut bambu dari ujung.,2
Ardus Suntry,sangat membantu,5
Soleh Sapujagat chanel,"parah Regist gagal terus gmn mau Daftar Regist sj gagal lagi pas isi Nmr HP , please di Tingkatkan lg kualitas pelayanan spy Masarakat mudah mengakses aplikasi ini ,, Jan",1
Loka Jaya,mantap,5
Jeremy yuddi,sangat bermanfaat,5
Cecep Suryanata,bagus,5
Irwan Setiawan,mntap aplikasi ini,5
Yussi Johanes,lebih mudah,5
Peristiwa Hidup,memudahkan,5
japek 1605,No antrian aplikasi tidak sesuai realita yang di rs,3
Siti Nurazizah,aplikasi nya bgs dan sngat membantu,5
maulana alvieer,bermalasah mulu,1
Linda Gouw,"otp tidak masuk, tunggunya 5 menit",1
juli arbi,sangat membantu rakyat,5
Siti Handayani,"dasar mobile JKN butut aplikasi terjadul sedunia, login 5x ga bisa bisa sialan ribet bgt, kalo ga butuh amat ga mau download habisan Kouta sajaa! kode SMS tidak masuk masuk dasarrr apk jeleqqqqqqqqqqqqqqq",1
Shanti,"Sejauh ini, aplikasi JKN sangat membantu, khususnya pada saat harus menghubungi BPJS, bisa langsung telepon ke 165, tanpa dikenai biaya apapun. Termasuk saat ingin melakukan pengaduan atas pelayanan Faskes 1 yg kurang baik, bisa langsung dilakukan di aplikasi JKN. Jadi, aplikasi ini sangat membantu sekali. Terima kasih.",5
Alden Farelaristo,sudah berkali kali nyoba kirim kode otp tetap ga bisa2... bikin pusing...,2
RATIH SWASTI,terimakasih bisa digunakan lancar,5
Wiratama DWT,Sangat Mudah..tanpa Ribet,5
Wina Winarni,Bagus banget jadi gampang buat orang tua yang kurang fokus membaca...terima makasih sukses untuk semua 💜💙💚💛🧡❤️,5
Tashaun Rhodes,aplikasi ga jelas kode otp ga masuk masuk mempersulit,1
ذوالقرنين,manfaat,5
Arumi Arumi,sangat bagus,5
Supriadi Supriadi,bagus bermanfaat,5
indah handayani,"Aplikasi nya udah pernah download dan mau masuk lagi, susah banget, dan download ulang mau masuk lagi gagal terus, ini aplikasinya bisa ga ya diperbaharui udah bertahun tahun tp tetap mengecewakan",5
Mhd Israk,sangat membantu utk masyarakat kecil,5
Pur Wantini,hendak mengganti pasword yg lupa tapi ga bisa erorr terus,1
Marinus Dimbau,sangat senang dan membantu,5
Indra Aldric,KODE OTP GA MASUK MASUK,1
JUMAIN JUMAIN,pelayanan cepat,5
Pengguna Google,Alhamdulillah amanah,5
Ryan Ariditya,kode otp nomer hp ga kekirim,1
Muhammad Kamalludin,"Untuk saat ini segi proses pendaftaran atau scan masih suka terganggu, coba tolong lebih di perbaiki lg kedepannya",5
Putra ARDA,"pea bgt, modif prop buat ngegame malah masuk kategori root. aneh nih apk",1
Zofa Antaz,kode ga muncul² padahal mau daftar gmn si,1
Rudi Oncom,lambat tp pasti,5
Sucintya Naila,proses mudah..terimakasih,5
Manda Aulia,bagus,4
Mbah Da,good,5
Bani Abdul Hasan,"Bagus, mudah di gunakan...",5
Rian Syah,aplikasi yang sangat baik,5
Aji Magnet Rezeki,bagus bingit,5
faizatnr,"kenapa sih susah banget dapet SMS kode otp nya. sampai pakai 3 nomor ngga bisa-bisa. pas lagi butuh banget ini, malah aplikasi nya ga jelas bgt. biar jadi eval kritikan kek gini !!!",1
Sekar Bintang,"login nya susah, tolong diperbaiki servernya",1
Solichin Isnen,good,5
Muhammad Saad,"Daftarnya susah aplikasi keluar sendiri saat verif, setelah update malah logout gak guna banget",1
Alfi Reza,sangat bagus,5
Dwi Aja,"""Permintaan anda belum dapat diproses silahkan coba lagi."" knapa sih bgitu terus, aplikasi udh diperbarui, sinyalku bagus. muncul notif bgitu terus.",2
Nur Hikmaa,assalamualaikum,5
Ageng Laksana,yang bener aja mau daftar butuh kode otp tapi ga di kirim kirim kocak,1
Alvin rizal Fahlevi,"jujur, aplikasi ini jdi ribet karna sistemnya banyak masalah tidak pernah diperbaiki, diupdate.kecewa pdhal udh banyak pengguna..",1
Abdur Rahmat,ok,5
Mr. Alfarabi,keren gak ribet,4
Nurmala Ni'mah,aplikasi ini memudahkan semua nya okke,5
Wiharjo Sikasur,aplikasi pemerintah yang sudah banyak penggunanya TPI tidak pernah diperbaiki sistemnya.. parahhh,1
Andi Afdhalud Zikri,"apasih kirim otp aja gak tembus tembus, klw butuh pulsa bilang dong.",1
Ahmad Ali,sangat membantu,5
Lia Safitri,sangat membantu mengubah data secara aman,5
bagus sungkono,mantapp,5
herhaman 1988,nice,5
Yanti Ajaa,nunggu kode verifikasi no telpon apakah agak terlalu lama yah ka,1
Sahla Freedom,top deh,5
nafeesa Inara,keren dah,5
Alfin Pranata,knp gak bisa login,5
Lindawati Cjia,terbantu banget ada aplikasi mobile jkn ini. bagus banget,5
AVICENA TV,"Verifikasi nya ga jelas banget!!! Baru registrasi aja sudah dipersulit gimana penggunaannya, masa verifikasi wajah dikatain terlalu gelap mulu, padahal udah di luar ruangan, terus verifikasi nomor hp udah seminggu aku coba terus tetap ga ada kode yang dikirim dan sudah aku coba pakai nomor ku yang ke dua tetap tidak bisa!",1
Bagus Hermawan,mudah diakses cepat responsif,5
Hermawan Rachman,alhamdulilah ayo maju terus,5
Petrus Canisius Joko Trisianto,"Baik, memuaskan.",4
Hasury 007,ok,4
Bonny Tiras,apk ss+,5
listina yudanti,trimakasih sudah ada program ini,5
Slamet Wilujeng,mobil jkn emang top,5
Habiburrahman Azzahir,"stuck di otp sms, perbaiki tolong",2
Alfiano Ardian,sangat tidak membantu,1
Kartika Apriyanti25,membantu,4
Queenara dila Pratama,menghabiskan memori internal hampir 1gb untuk aplikasinya saja,3
BanK Canare YD2CNE,mntap,5
Maman Malmsteen,Bermanfaat,5
Bayu Ardiyanto,"Aplikasi yang sangat dibutuhkan justru payah sering eror tolong diperbaiki lah , banyak yang membutuhkan JKN ini",3
zena ryx,seluruh keluarga saya terlindungi bpjs terimakasih,5
